Time[s], Í¨µÀ 0
-1.472392, 1
-1.470773, 0
-1.469153, 1
-1.467534, 0
-1.465915, 1
-1.465375, 0
-1.464835, 1
-1.463216, 0
-1.462676, 1
-1.459976, 0
-1.459436, 1
-1.457816, 0
-1.456197, 1
-1.455657, 0
-1.455117, 1
-1.454577, 0
-1.452957, 1
-1.452417, 0
-1.450797, 1
-1.450257, 0
-1.448635, 1
-1.448095, 0
-1.446471, 1
-1.445931, 0
-1.445391, 1
-1.443771, 0
-1.443231, 1
-1.440530, 0
-1.439990, 1
-1.438370, 0
-1.436750, 1
-1.436210, 0
-1.435670, 1
-1.435130, 0
-1.434590, 1
-1.432970, 0
-1.431349, 1
-1.429729, 0
-1.429189, 1
-1.428649, 0
-1.427029, 1
-1.426489, 0
-1.424869, 1
-1.423248, 0
-1.422708, 1
-1.420007, 0
-1.419467, 1
-1.417847, 0
-1.417306, 1
-1.415686, 0
-1.415146, 1
-1.414606, 0
-1.412985, 1
-1.412445, 0
-1.411905, 1
-1.411365, 0
-1.410825, 1
-1.409204, 0
-1.408664, 1
-1.407044, 0
-1.406504, 1
-1.404884, 0
-1.403264, 1
-1.400563, 0
-1.400024, 1
-1.398405, 0
-1.396786, 1
-1.396247, 0
-1.395707, 1
-1.395168, 0
-1.393549, 1
-1.391931, 0
-1.391391, 1
-1.389772, 0
-1.389232, 1
-1.387613, 0
-1.387073, 1
-1.386534, 0
-1.385994, 1
-1.385454, 0
-1.384914, 1
-1.382215, 0
-1.381675, 1
-1.380056, 0
-1.378437, 1
-1.377897, 0
-1.377357, 1
-1.375739, 0
-1.374119, 1
-1.373580, 0
-1.373040, 1
-1.371421, 0
-1.370881, 1
-1.370341, 0
-1.368722, 1
-1.368182, 0
-1.366563, 1
-1.364944, 0
-1.364404, 1
-1.361705, 0
-1.361165, 1
-1.359546, 0
-1.359006, 1
-1.358467, 0
-1.356848, 1
-1.355229, 0
-1.354689, 1
-1.354150, 0
-1.353610, 1
-1.353070, 0
-1.351451, 1
-1.350911, 0
-1.350371, 1
-1.349832, 0
-1.349292, 1
-1.347673, 0
-1.346054, 1
-1.340238, 0
-1.338585, 1
-1.338080, 0
-1.337575, 1
-1.337069, 0
-1.336564, 1
-1.336059, 0
-1.334405, 1
-1.333900, 0
-1.332247, 1
-1.331742, 0
-1.331236, 1
-1.329583, 0
-1.327929, 1
-1.327424, 0
-1.325770, 1
-1.324117, 0
-1.323612, 1
-1.317808, 0
-1.317303, 1
-1.315649, 0
-1.315144, 1
-1.314639, 0
-1.312985, 1
-1.312480, 0
-1.310826, 1
-1.310321, 0
-1.308668, 1
-1.307014, 0
-1.305361, 1
-1.304856, 0
-1.304350, 1
-1.303845, 0
-1.303340, 1
-1.302835, 0
-1.302329, 1
-1.296527, 0
-1.296021, 1
-1.294368, 0
-1.293863, 1
-1.293358, 0
-1.291704, 1
-1.291199, 0
-1.289545, 1
-1.289040, 0
-1.287386, 1
-1.286881, 0
-1.286376, 1
-1.285871, 0
-1.285366, 1
-1.283712, 0
-1.282059, 1
-1.281553, 0
-1.281048, 1
-1.275245, 0
-1.274740, 1
-1.273087, 0
-1.272581, 1
-1.270928, 0
-1.270423, 1
-1.269918, 0
-1.269412, 1
-1.268907, 0
-1.268402, 1
-1.267897, 0
-1.267391, 1
-1.266886, 0
-1.266381, 1
-1.265876, 0
-1.264222, 1
-1.263717, 0
-1.263212, 1
-1.257408, 0
-1.256903, 1
-1.255249, 0
-1.254744, 1
-1.254239, 0
-1.252585, 1
-1.252080, 0
-1.250427, 1
-1.248773, 0
-1.248268, 1
-1.247763, 0
-1.246109, 1
-1.244456, 0
-1.243950, 1
-1.242297, 0
-1.241792, 1
-1.241286, 0
-1.240781, 1
-1.234979, 0
-1.234473, 1
-1.232820, 0
-1.231166, 1
-1.229513, 0
-1.229007, 1
-1.228502, 0
-1.227997, 1
-1.227492, 0
-1.226987, 1
-1.226481, 0
-1.225976, 1
-1.225471, 0
-1.224966, 1
-1.223312, 0
-1.222807, 1
-1.222302, 0
-1.220648, 1
-1.214846, 0
-1.214340, 1
-1.212687, 0
-1.212182, 1
-1.211676, 0
-1.210023, 1
-1.209518, 0
-1.209012, 1
-1.207359, 0
-1.206854, 1
-1.205200, 0
-1.204695, 1
-1.204190, 0
-1.203684, 1
-1.202031, 0
-1.201526, 1
-1.199872, 0
-1.198219, 1
-1.192414, 0
-1.191909, 1
-1.190255, 0
-1.189750, 1
-1.189245, 0
-1.187591, 1
-1.187086, 0
-1.186581, 1
-1.184927, 0
-1.183274, 1
-1.182769, 0
-1.182263, 1
-1.180610, 0
-1.178956, 1
-1.177303, 0
-1.176798, 1
-1.176292, 0
-1.175787, 1
-1.169984, 0
-1.169479, 1
-1.167826, 0
-1.167320, 1
-1.166815, 0
-1.166310, 1
-1.164657, 0
-1.163003, 1
-1.161350, 0
-1.160844, 1
-1.160339, 0
-1.158685, 1
-1.158180, 0
-1.157675, 1
-1.156022, 0
-1.154368, 1
-1.153863, 0
-1.153358, 1
-1.150656, 0
-1.150116, 1
-1.148496, 0
-1.147956, 1
-1.146336, 0
-1.144715, 1
-1.143095, 0
-1.142555, 1
-1.140935, 0
-1.140395, 1
-1.139855, 0
-1.138236, 1
-1.136616, 0
-1.136076, 1
-1.135536, 0
-1.134996, 1
-1.134456, 0
-1.132836, 1
-1.130135, 0
-1.129595, 1
-1.127975, 0
-1.126355, 1
-1.125815, 0
-1.125275, 1
-1.124735, 0
-1.124195, 1
-1.123655, 0
-1.123115, 1
-1.122576, 0
-1.120956, 1
-1.119336, 0
-1.118796, 1
-1.117176, 0
-1.116636, 1
-1.115016, 0
-1.114476, 1
-1.111777, 0
-1.111236, 1
-1.109617, 0
-1.107997, 1
-1.107458, 0
-1.106918, 1
-1.106378, 0
-1.105838, 1
-1.105298, 0
-1.104758, 1
-1.104218, 0
-1.102598, 1
-1.100978, 0
-1.100438, 1
-1.098818, 0
-1.098278, 1
-1.096658, 0
-1.096118, 1
-1.093418, 0
-1.092878, 1
-1.091259, 0
-1.089640, 1
-1.089101, 0
-1.087481, 1
-1.086942, 0
-1.085322, 1
-1.083702, 0
-1.082082, 1
-1.081543, 0
-1.081002, 1
-1.080463, 0
-1.078843, 1
-1.078303, 0
-1.076684, 1
-1.076144, 0
-1.075604, 1
-1.072906, 0
-1.072366, 1
-1.070746, 0
-1.069127, 1
-1.068587, 0
-1.068047, 1
-1.066428, 0
-1.065888, 1
-1.064269, 0
-1.063729, 1
-1.062110, 0
-1.060491, 1
-1.059951, 0
-1.059411, 1
-1.057792, 0
-1.057253, 1
-1.055634, 0
-1.055094, 1
-1.052396, 0
-1.051856, 1
-1.050237, 0
-1.049697, 1
-1.049158, 0
-1.048618, 1
-1.046999, 0
-1.046459, 1
-1.045920, 0
-1.044301, 1
-1.043761, 0
-1.042142, 1
-1.040523, 0
-1.039983, 1
-1.039444, 0
-1.038904, 1
-1.038365, 0
-1.036746, 1
-1.030932, 0
-1.030427, 1
-1.028773, 0
-1.028268, 1
-1.026614, 0
-1.026109, 1
-1.024456, 0
-1.023950, 1
-1.023445, 0
-1.021792, 1
-1.021287, 0
-1.020781, 1
-1.020276, 0
-1.019771, 1
-1.019266, 0
-1.018760, 1
-1.017107, 0
-1.016602, 1
-1.010798, 0
-1.010293, 1
-1.008639, 0
-1.008134, 1
-1.007629, 0
-1.007124, 1
-1.005470, 0
-1.004965, 1
-1.003311, 0
-1.001658, 1
-1.001153, 0
-1.000647, 1
-1.000142, 0
-0.998489, 1
-0.996835, 0
-0.995181, 1
-0.994676, 0
-0.994171, 1
-0.988368, 0
-0.987863, 1
-0.986210, 0
-0.984556, 1
-0.982903, 0
-0.982397, 1
-0.980744, 0
-0.980239, 1
-0.978585, 0
-0.978080, 1
-0.977575, 0
-0.977069, 1
-0.976564, 0
-0.976059, 1
-0.975554, 0
-0.975049, 1
-0.973395, 0
-0.971742, 1
-0.965939, 0
-0.965434, 1
-0.963780, 0
-0.963275, 1
-0.962770, 0
-0.961116, 1
-0.959463, 0
-0.957809, 1
-0.957304, 0
-0.955650, 1
-0.953997, 0
-0.953492, 1
-0.952987, 0
-0.952481, 1
-0.951976, 0
-0.950322, 1
-0.949817, 0
-0.948164, 1
-0.942358, 0
-0.941853, 1
-0.940199, 0
-0.938546, 1
-0.936892, 0
-0.936387, 1
-0.935882, 0
-0.935377, 1
-0.934871, 0
-0.934366, 1
-0.932713, 0
-0.932207, 1
-0.931702, 0
-0.930049, 1
-0.929543, 0
-0.929038, 1
-0.928533, 0
-0.926879, 1
-0.921077, 0
-0.920571, 1
-0.918918, 0
-0.918413, 1
-0.917908, 0
-0.917402, 1
-0.915749, 0
-0.915244, 1
-0.914738, 0
-0.914233, 1
-0.913728, 0
-0.912074, 1
-0.910421, 0
-0.908767, 1
-0.908262, 0
-0.906609, 1
-0.904955, 0
-0.904450, 1
-0.901747, 0
-0.901207, 1
-0.899588, 0
-0.897968, 1
-0.897428, 0
-0.896888, 1
-0.895268, 0
-0.894728, 1
-0.893109, 0
-0.892570, 1
-0.892030, 0
-0.890411, 1
-0.889871, 0
-0.888252, 1
-0.886633, 0
-0.885013, 1
-0.884474, 0
-0.883934, 1
-0.881235, 0
-0.880695, 1
-0.879077, 0
-0.877458, 1
-0.876919, 0
-0.876379, 1
-0.875839, 0
-0.875300, 1
-0.873681, 0
-0.872062, 1
-0.870444, 0
-0.869904, 1
-0.869365, 0
-0.867746, 1
-0.867206, 0
-0.865588, 1
-0.863969, 0
-0.863430, 1
-0.860732, 0
-0.860192, 1
-0.858574, 0
-0.856955, 1
-0.855336, 0
-0.853717, 1
-0.853177, 0
-0.852637, 1
-0.852098, 0
-0.851558, 1
-0.849939, 0
-0.848320, 1
-0.847780, 0
-0.847240, 1
-0.845622, 0
-0.844002, 1
-0.843463, 0
-0.842923, 1
-0.837111, 0
-0.836606, 1
-0.834953, 0
-0.834447, 1
-0.832794, 0
-0.832289, 1
-0.830635, 0
-0.830130, 1
-0.829625, 0
-0.827971, 1
-0.827466, 0
-0.826961, 1
-0.826456, 0
-0.825950, 1
-0.825445, 0
-0.824940, 1
-0.823286, 0
-0.822781, 1
-0.816975, 0
-0.816470, 1
-0.814817, 0
-0.814311, 1
-0.813806, 0
-0.813301, 1
-0.811647, 0
-0.811142, 1
-0.809489, 0
-0.807835, 1
-0.807330, 0
-0.806825, 1
-0.806320, 0
-0.804666, 1
-0.803013, 0
-0.801359, 1
-0.800854, 0
-0.800349, 1
-0.794544, 0
-0.794039, 1
-0.792385, 0
-0.790731, 1
-0.789078, 0
-0.788573, 1
-0.786919, 0
-0.786414, 1
-0.784761, 0
-0.784255, 1
-0.783750, 0
-0.783245, 1
-0.782740, 0
-0.782234, 1
-0.781729, 0
-0.781224, 1
-0.779571, 0
-0.777917, 1
-0.772112, 0
-0.771607, 1
-0.769954, 0
-0.769448, 1
-0.768943, 0
-0.767289, 1
-0.765636, 0
-0.763982, 1
-0.763477, 0
-0.761824, 1
-0.760170, 0
-0.759665, 1
-0.759160, 0
-0.758654, 1
-0.758149, 0
-0.756496, 1
-0.755991, 0
-0.754337, 1
-0.748531, 0
-0.748026, 1
-0.746373, 0
-0.744719, 1
-0.743066, 0
-0.742560, 1
-0.742055, 0
-0.741550, 1
-0.741045, 0
-0.740539, 1
-0.738886, 0
-0.738381, 1
-0.737876, 0
-0.736222, 1
-0.735717, 0
-0.735211, 1
-0.734706, 0
-0.733053, 1
-0.727250, 0
-0.726745, 1
-0.725091, 0
